212 3
0.0787076  0.840953  0.536316
-0.157685  0.776732  0.610552
-0.187545  0.578029  0.795334
0.0380896  0.455779  0.890033
-0.601588  0.496988  0.624656
-0.420329   0.43671  0.795462
0.0196951  0.214675  0.976927
 0.28716 0.727091 0.625533
0.285492 0.535531 0.795546
0.491777 0.357238 0.795356
 0.69025 0.391024 0.610595
  0.21012 0.0486872  0.976838
0.445221 0.106145 0.890505
0.824356  0.18522 0.536543
-0.572756   0.68268  0.454633
-0.362468  0.826933   0.43192
-0.303258  0.934609  0.188359
 -0.471089   0.881825 -0.0204144
0.135523 0.941276 0.310395
-0.0417217   0.991309   0.131562
-0.376917  0.889277 -0.258973
0.471655 0.757124 0.454475
0.674094 0.600228 0.431983
0.794728 0.577851 0.187977
  0.692994   0.721826 -0.0201596
0.937281 0.163211 0.309958
0.929517 0.347354 0.132329
 0.728645  0.633991 -0.258801
 0.574347  0.682556 -0.453245
 0.363266    0.8273 -0.430146
 0.303764  0.934479 -0.187241
  0.47208  0.882179 0.0215353
-0.134752  0.941951 -0.309639
0.0430347  0.990937 -0.131033
0.378109 0.888951 0.259643
 -0.01874  0.215411 -0.976476
-0.0366205   0.455894  -0.888558
 0.188341  0.577905 -0.793764
 0.421483  0.436881 -0.795295
-0.0784948   0.841536   -0.53543
0.158234 0.776474 -0.61033
 0.602833  0.496981 -0.623893
-0.209134  0.048191 -0.976328
-0.444271  0.106276 -0.888862
-0.490973  0.357503 -0.794269
-0.284258  0.535504 -0.795307
-0.823403  0.185818  -0.53497
-0.688385  0.390818 -0.610184
 -0.28549  0.726911 -0.624461
-0.470771  0.756389 -0.453493
-0.673364  0.601099 -0.430909
-0.794455   0.57767 -0.186963
-0.692591  0.721564  0.021311
-0.936013  0.162518 -0.309432
-0.928366  0.346787 -0.131473
-0.727618  0.634402  0.259631
-0.824818 -0.334273  0.454112
 -0.897004 -0.0893633   0.431197
  -0.982176 0.000365339    0.187846
-0.984027 -0.175278 -0.020234
-0.852931   0.41982  0.310717
-0.954164  0.266169  0.131717
 -0.961346 -0.0837751  -0.259239
-0.657928 -0.418896  0.625108
 -0.54415 -0.264699   0.79621
    -0.6066 0.000951367    0.795287
-0.786639 0.0902802  0.611022
-0.197435 0.0856712  0.977464
-0.420774  0.176351  0.890051
-0.774832  0.334787  0.535974
 0.195842 -0.755261  0.625042
0.0849142 -0.599268   0.79617
-0.186792 -0.576644  0.795396
-0.328279 -0.720026  0.610858
-0.141304 -0.162205  0.977223
-0.297245 -0.345916  0.890196
-0.557698 -0.633059  0.536426
0.0640173 -0.888228   0.45412
-0.191936 -0.880598   0.43125
-0.303085 -0.933857  0.188107
 -0.135797   -0.98996 -0.0202218
-0.661714 -0.681561   0.31012
-0.546663 -0.826147  0.132132
-0.216127 -0.941109 -0.259488
-0.0623539  -0.888045  -0.453662
 0.192804 -0.880905 -0.430354
 0.303736 -0.933336 -0.186884
 0.137507 -0.990305 0.0207711
 0.663284 -0.681297 -0.309694
 0.547876  -0.82622 -0.131113
 0.217695 -0.940162  0.259879
 0.142036 -0.161578 -0.976225
 0.298511   -0.3458 -0.889091
 0.187875 -0.577156 -0.794643
-0.0839926  -0.599154   -0.79521
 0.558718 -0.633839 -0.535162
 0.328899 -0.720736 -0.609504
-0.195107 -0.755149 -0.624345
  0.19837 0.0847857  -0.97629
  0.42226  0.176757 -0.888719
  0.607758 0.00075294  -0.793985
 0.545384  -0.26546 -0.794856
 0.775573  0.335002 -0.534861
 0.787195  0.090218 -0.609806
 0.659343 -0.418779 -0.624273
 0.780172 -0.047808  0.624764
 0.597264 -0.104528  0.796268
  0.49168 -0.356083   0.79497
 0.584314 -0.534475  0.610643
 0.111108 -0.184455   0.97694
 0.237875 -0.389892  0.889907
 0.430993 -0.726026  0.535948
-0.110241 -0.184894  -0.97614
-0.237362  -0.38959 -0.888837
 -0.49061 -0.356093 -0.793934
-0.595834 -0.104928 -0.794514
-0.430225 -0.726041 -0.535043
-0.583518 -0.534602 -0.609727
 -0.778483 -0.0478007  -0.623932
 0.865124 -0.214066  0.454504
 0.779818 -0.455381  0.431309
 0.795297 -0.576804   0.18851
  0.899956  -0.435069 -0.0204426
 0.444665 -0.840127  0.310364
 0.617439 -0.776177  0.131662
 0.828778 -0.496246 -0.259053
 0.826348 -0.333932  -0.45299
 0.898586 -0.089176 -0.430281
   0.982418 4.25392e-06   -0.187097
